cookie,conversion,time,sales,impression,channel,creative
2lc433ac514e6a82714db6cbe1il5,0,2014-12-08T12:40:03Z,0,1,Display_1,Creative2
iaac57i57a8ee315317l7db5d8l63,0,2014-12-21T23:25:13Z,0,1,PaidSearch_1,Creative3
c4c241l78efii6abb4c3cif6f7id4,0,2014-12-13T22:49:52Z,0,1,Display_2,Creative3
c4c241l78efii6abb4c3cif6f7id4,0,2014-12-14T14:13:53Z,0,1,Display_1,Creative1
c4c241l78efii6abb4c3cif6f7id4,0,2014-12-20T22:56:39Z,0,1,PaidSearch_2,Creative3
7bi46l56a66f1e7i8ed7e2if8b76l,0,2014-12-07T22:20:16Z,0,1,Display_2,Creative1
7bi46l56a66f1e7i8ed7e2if8b76l,0,2014-12-07T22:20:48Z,0,1,Display_2,Creative1
iiei47dd732lcd45482863ll185c4,0,2014-12-29T09:23:04Z,0,1,Display_1,Creative2
iiei47dd732lcd45482863ll185c4,0,2014-12-29T09:24:10Z,0,1,Display_1,Creative1
iiei47dd732lcd45482863ll185c4,0,2014-12-29T09:33:11Z,0,1,Display_1,Creative3
iiei47dd732lcd45482863ll185c4,0,2014-12-29T09:33:21Z,0,1,Display_1,Creative3
iiei47dd732lcd45482863ll185c4,0,2014-12-29T10:00:50Z,0,1,Display_1,Creative3
iiei47dd732lcd45482863ll185c4,0,2014-12-29T10:11:07Z,0,1,Display_1,Creative2
1a48ie827b8a55434bba454al7l5a,0,2014-12-09T10:34:17Z,0,1,Display_2,Creative1
1a48ie827b8a55434bba454al7l5a,0,2014-12-15T07:42:16Z,0,1,PaidSearch_1,Creative1
1a48ie827b8a55434bba454al7l5a,0,2014-12-15T12:45:33Z,0,1,Display_2,Creative1
1a48ie827b8a55434bba454al7l5a,0,2014-12-16T07:47:38Z,0,1,Display_2,Creative1
1a48ie827b8a55434bba454al7l5a,0,2014-12-16T07:48:14Z,0,1,PaidSearch_1,Creative2
1a48ie827b8a55434bba454al7l5a,0,2014-12-30T07:38:56Z,0,1,Display_2,Creative2
1a48ie827b8a55434bba454al7l5a,0,2014-12-30T07:39:37Z,0,1,Display_2,Creative3
1a48ie827b8a55434bba454al7l5a,0,2014-12-31T07:41:55Z,0,1,PaidSearch_1,Creative3
1a48ie827b8a55434bba454al7l5a,0,2014-12-31T07:41:56Z,0,1,Display_2,Creative2
66il441a74ffl82d66474ebll5d8e,0,2014-12-21T17:48:59Z,0,1,PaidSearch_2,Creative3
66il441a74ffl82d66474ebll5d8e,0,2014-12-29T09:47:51Z,0,1,Display_1,Creative3
fe857l3bi88b3abb7lc2c432f233l,0,2014-12-10T12:32:35Z,0,1,Display_1,Creative3
fe857l3bi88b3abb7lc2c432f233l,0,2014-12-10T12:32:44Z,0,1,Display_1,Creative3
8a422486dl171783f3l7f448lafi4,0,2014-12-01T15:27:18Z,0,1,Display_1,Creative1
8a422486dl171783f3l7f448lafi4,0,2014-12-01T15:28:47Z,0,1,Display_1,Creative1
8a422486dl171783f3l7f448lafi4,0,2014-12-03T11:19:47Z,0,1,Display_1,Creative3
8a422486dl171783f3l7f448lafi4,0,2014-12-03T11:20:18Z,0,1,Display_1,Creative1
7b42b26a37511lde4b4e5add7efd2,0,2014-12-16T14:28:15Z,0,1,Display_2,Creative2
b6lli4c4c7348f27cf1a1acc7f71i,0,2014-12-16T10:48:26Z,0,1,Display_1,Creative3
lia6ileidcd7l86724aabc16a477b,0,2014-12-10T12:43:21Z,0,1,Display_1,Creative2
lia6ileidcd7l86724aabc16a477b,0,2014-12-10T12:45:55Z,0,1,Display_1,Creative3
ied42if2e3lf5lbfii7lle4bfala7,0,2014-12-03T11:58:17Z,0,1,Display_1,Creative2
ied42if2e3lf5lbfii7lle4bfala7,0,2014-12-06T15:46:56Z,0,1,Display_1,Creative1
ied42if2e3lf5lbfii7lle4bfala7,0,2014-12-12T12:53:38Z,0,1,Display_1,Creative2
ied42if2e3lf5lbfii7lle4bfala7,0,2014-12-12T12:53:56Z,0,1,Display_1,Creative3
a6i7fd2c5f1l7313eec4ee16l5352,0,2014-12-21T17:11:27Z,0,1,Display_1,Creative2
6d2485l248ebid8d12ae1lc7lcd3c,0,2014-12-13T14:54:15Z,0,1,Display_1,Creative2
6d2485l248ebid8d12ae1lc7lcd3c,0,2014-12-13T14:54:25Z,0,1,Display_1,Creative2
6d2485l248ebid8d12ae1lc7lcd3c,0,2014-12-13T14:54:29Z,0,1,Display_1,Creative1
6d2485l248ebid8d12ae1lc7lcd3c,0,2014-12-13T14:54:32Z,0,1,Display_1,Creative2
6d2485l248ebid8d12ae1lc7lcd3c,0,2014-12-14T12:28:25Z,0,1,Display_1,Creative2
6d2485l248ebid8d12ae1lc7lcd3c,0,2014-12-14T15:09:57Z,0,1,Display_1,Creative2
6d2485l248ebid8d12ae1lc7lcd3c,0,2014-12-14T15:18:00Z,0,1,Display_1,Creative3
1cl5i6bd257edf45612b32287dfe1,0,2014-12-02T09:46:33Z,0,1,Display_1,Creative2
1cl5i6bd257edf45612b32287dfe1,0,2014-12-02T09:56:16Z,0,1,Display_1,Creative1
1cl5i6bd257edf45612b32287dfe1,0,2014-12-05T11:53:05Z,0,1,Display_1,Creative3
1cl5i6bd257edf45612b32287dfe1,0,2014-12-16T12:48:05Z,0,1,PaidSearch_1,Creative2
1cl5i6bd257edf45612b32287dfe1,0,2014-12-16T12:48:39Z,0,1,Display_2,Creative3
1cl5i6bd257edf45612b32287dfe1,0,2014-12-16T13:21:46Z,0,1,PaidSearch_1,Creative2
1cl5i6bd257edf45612b32287dfe1,0,2014-12-28T17:05:39Z,0,1,PaidSearch_1,Creative3
1cl5i6bd257edf45612b32287dfe1,0,2014-12-28T17:06:14Z,0,1,PaidSearch_1,Creative2
74a65i5f5ee5elcd5blc1c4idcf71,0,2014-12-17T08:09:52Z,0,1,PaidSearch_2,Creative1
74a65i5f5ee5elcd5blc1c4idcf71,0,2014-12-17T08:10:03Z,0,1,PaidSearch_2,Creative1
